name,name2
lndxxb-zxshkxb,辽宁大学学报. 哲学社会科学版
lngcjsdxxb-zrkxb,辽宁工程技术大学学报. 自然科学版
lnjyyjgmwxdjygl,辽宁教育研究（改名为：现代教育管理）
bw,瞭望
lcgy,林产工业
lchxygy,林产化学与工业
lyjj,林业经济
lyjjwt,林业经济问题
lykjkf,林业科技开发
lykx,林业科学
lykxyj,林业科学研究
lyzygl,林业资源管理
lcekzz,临床儿科杂志
lcebyhtjwkzz,临床耳鼻咽喉头颈外科杂志
lcfsxzz,临床放射学杂志
lcjyzz,临床检验杂志
lcmzxzz,临床麻醉学杂志
lcpfkzz,临床皮肤科杂志
lcsjbxzz,临床神经病学杂志
lcxxgbzz,临床心血管病杂志
lcysyblxzz,临床与实验病理学杂志
ldkx,领导科学
ltjx,流体机械
lxyjyk,鲁迅研究月刊
lyxk,旅游学刊
llxyj,伦理学研究
mkszyyj,马克思主义研究
mkszyyxs,马克思主义与现实
mlzwxb,麦类作物学报
mzyj,满族研究
mz,芒种
mfkj,毛纺科技
mzddxpllyj,毛泽东邓小平理论研究
mzdsxyj,毛泽东思想研究
mkaq,煤矿安全
mkjx,煤矿机械
mkkc,煤矿开采
msgc,煤炭工程
msjs,煤炭技术
mskxjs,煤炭科学技术
msxb,煤炭学报
mszh,煤炭转化
mtdzyks,煤田地质与勘探
mgyj,美国研究
ms,美术
msgc,美术观察
msxb,美术学报
msyj,美术研究
my,美苑
mfzjs,棉纺织技术
mhxb,棉花学报
myxzz,免疫学杂志
mgda,民国档案
mzjyyj,民族教育研究
mzwxyj,民族文学研究
mzyj,民族研究
mzys,民族艺术
mzyw,民族语文
mqxsyj,明清小说研究
mhxtysx,模糊系统与数学
mssbyrgzn,模式识别与人工智能
mkxyjs,膜科学与技术
mcxxb,摩擦学学报
mcgy,木材工业
mcjgjx,木材加工机械
nhcl,耐火材料
ncdxxb-lkb,南昌大学学报. 理科版
ncdxxb-rwshkxb,南昌大学学报. 人文社会科学版
nfjr,南方金融
nfscgmwnfsckx,南方水产（改名为：南方水产科学）
nfws,南方文坛
nfykdxxb,南方医科大学学报
njdxxb-zxrwkxshkx,南京大学学报. 哲学、人文科学、社会科学
njdxxb-zrkx,南京大学学报. 自然科学
njgydxxb-zrkxb,南京工业大学学报. 自然科学版
njhkhtdxxb,南京航空航天大学学报
